student_id,nom_complet,age,sexe,serie,notes_detaillees,moyenne_generale,matieres_fortes,matieres_faibles,centres_interet,competences,preferences_env,objectif_professionnel,filieres_compatibles,filiere_recommandee,parcours_recommande,score_compatibilite,niveau_confiance,justification
STD_2026_0001,Henintsoa Randriamampianina,21,M,A1,Philosophie:16.48; Français:14.81; Malagasy:12.18; Histoire-Géographie:15.53; Anglais:9.15; LV2:9.77; Mathématiques:11.24; SVT / Sciences humaines:10.86; EPS:13.23,13.16,Philosophie; Histoire-Géographie,LV2; Anglais,Sport d'équipe; Programmation & Code,Contrôle qualité HACCP; Process agroalimentaires; Résolution de problèmes,Bureau & Télétravail,Biologiste industriel,IAA; GCA; IMTICIA,IAA,Biotechnologie et Agronomie,50.94,Faible,"Excellente adéquation avec la série A1 et bonnes notes en Philosophie, Histoire-Géographie. Profil aligné avec l'objectif de Biologiste industriel."
STD_2026_0002,Mialy Rakotondrabe,18,F,A2,Philosophie:11.05; Français:12.68; Malagasy:13.22; Histoire-Géographie:12.01; Anglais:11.25; LV2:15.49; Mathématiques:9.12; SVT / Sciences humaines:10.65; EPS:10.88,12.12,LV2; Malagasy,SVT / Sciences humaines; Mathématiques,Économie & Bourse; Dessin & Design,Analyse en laboratoire; Pharmacologie; Résolution de problèmes,Laboratoire & R&D,Responsable contrôle qualité labo,PIP; TEH; ICMP,PIP,Biotechnologie et Agronomie,52.97,Faible,"Excellente adéquation avec la série A2 et bonnes notes en LV2, Malagasy. Profil aligné avec l'objectif de Responsable contrôle qualité labo."
STD_2026_0003,Faly Rakotomalala,21,F,L,Philosophie:15.18; Français et Littérature:17.36; Anglais:14.19; LV2:12.12; Malagasy:12.35; Histoire-Géographie:12.57; Éducation civique:11.4; Mathématiques:5.89; Arts / options culturelles:14.45; EPS:8.86,13.25,Français et Littérature; Philosophie,EPS; Mathématiques,Dessin & Design; Sport d'équipe,CAO Mécanique; Automatisme PLC; Résolution de problèmes,Espaces de Coworking / Startup,Ingénieur Électromécanicien,EMII; EMP; IAA,EMII,Génie Industriel et Génie Civil,43.66,Faible,"Excellente adéquation avec la série L et bonnes notes en Français et Littérature, Philosophie. Profil aligné avec l'objectif de Ingénieur Électromécanicien."
STD_2026_0004,Sitraka Rasoanaivo,21,F,C,"Mathématiques:15.67; Sciences Physiques, Chimiques et Technologie (SPCT):19.17; Français:10.76; Philosophie:10.32; Malagasy:11.44; Histoire-Géographie:8.11; Anglais:8.1; SVT:13.34; EPS:11.42",13.65,"Sciences Physiques, Chimiques et Technologie (SPCT); Mathématiques",Histoire-Géographie; Anglais,Sport d'équipe; Programmation & Code,Métré et devis; AutoCAD/Revit; Résolution de problèmes,Bureau & Télétravail,Ingénieur Génie Civil,GCA; IAA; ESIIA,GCA,Génie Industriel et Génie Civil,81.7,Élevé,"Excellente adéquation avec la série C et bonnes notes en Sciences Physiques, Chimiques et Technologie (SPCT), Mathématiques. Profil aligné avec l'objectif de Ingénieur Génie Civil."
STD_2026_0005,Hery Andriantsitohaina,21,M,D,"SVT:13.19; Sciences Physiques, Chimiques et Technologie (SPCT):14.42; Mathématiques:11.05; Français:10.36; Philosophie:9.37; Malagasy:13.71; Histoire-Géographie:9.88; Anglais:11.51; EPS:12.41",12.11,"Sciences Physiques, Chimiques et Technologie (SPCT); Malagasy",Histoire-Géographie; Philosophie,Volontariat; Lecture & Écriture,Génie des procédés; Raffinage et extraction; Résolution de problèmes,Bureau & Télétravail,Ingénieur Procédés,ICMP; EMII; IAA,ICMP,Génie Industriel et Génie Civil,82.44,Élevé,"Excellente adéquation avec la série D et bonnes notes en Sciences Physiques, Chimiques et Technologie (SPCT), Malagasy. Profil aligné avec l'objectif de Ingénieur Procédés."
STD_2026_0006,Nary Rakotomalala,21,M,S,Mathématiques:14.87; Sciences Physiques et Chimiques:18.75; SVT / Biologie-Géologie:16.5; Français:11.88; Philosophie:10.36; Malagasy:12.61; Histoire-Géographie:14.39; Anglais:12.51; EPS:12.73,14.84,Sciences Physiques et Chimiques; SVT / Biologie-Géologie,Français; Philosophie,Robotique; Musique,C/C++ embarqué; Signal & Traitement; Résolution de problèmes,Espaces de Coworking / Startup,Ingénieur Systèmes Embarqués,ESIIA; IAA; DTJA,ESIIA,Informatique et Télécommunication,80.19,Élevé,"Excellente adéquation avec la série S et bonnes notes en Sciences Physiques et Chimiques, SVT / Biologie-Géologie. Profil aligné avec l'objectif de Ingénieur Systèmes Embarqués."
STD_2026_0007,Henintsoa Rasoanaivo,16,M,G,Mathématiques de gestion:15.23; Gestion / Comptabilité:15.49; Français:10.64; Anglais:8.95; Économie:14.01; Histoire-Géographie:12.38; Philosophie:10.33; EPS:12.49,12.89,Gestion / Comptabilité; Mathématiques de gestion,Philosophie; Anglais,Dessin & Design; Robotique,Algorithmique & Python; SQL & Bases de données; Résolution de problèmes,Entreprise industrielle,Ingénieur Génie Logiciel,IGGLIA; ESIIA; IAA,IGGLIA,Informatique et Télécommunication,74.52,Moyen,"Excellente adéquation avec la série G et bonnes notes en Gestion / Comptabilité, Mathématiques de gestion. Profil aligné avec l'objectif de Ingénieur Génie Logiciel."
STD_2026_0008,Tiana Rakotomalala,20,M,Technique,Mathématiques appliquées:17.05; Physique appliquée / Technologie:15.77; Dessin technique:10.95; Français:17.29; Anglais:15.27; Philosophie:8.0; EPS:10.5,14.44,Français; Mathématiques appliquées,EPS; Philosophie,Sport d'équipe; Nature & Écologie,UI/UX Design; Infographie & 3D; Résolution de problèmes,Sur le terrain / Chantier,Administrateur Réseaux & TIC,IMTICIA; FIC; TEH,IMTICIA,Informatique et Télécommunication,90.32,Élevé,"Excellente adéquation avec la série Technique et bonnes notes en Français, Mathématiques appliquées. Profil aligné avec l'objectif de Administrateur Réseaux & TIC."
STD_2026_0009,Hery Andriantsitohaina,17,F,A,Philosophie:15.92; Français:16.79; Malagasy:10.62; Histoire-Géographie:8.42; Anglais:16.09; LV2:18.39; Mathématiques:8.49; SVT / Sciences humaines:8.18; EPS:13.84,13.47,LV2; Français,Histoire-Géographie; SVT / Sciences humaines,Sport d'équipe; Dessin & Design,PowerBI & Analytics; Statistiques inférentielles; Résolution de problèmes,Laboratoire & R&D,Data Analyst,ISAIA; GCA; ICMP,ISAIA,Informatique et Télécommunication,58.02,Moyen,"Excellente adéquation avec la série A et bonnes notes en LV2, Français. Profil aligné avec l'objectif de Data Analyst."
STD_2026_0010,Fitia Ramanantsoa,19,M,A1,Philosophie:14.04; Français:18.87; Malagasy:15.45; Histoire-Géographie:14.69; Anglais:12.62; LV2:13.12; Mathématiques:10.13; SVT / Sciences humaines:6.96; EPS:9.99,13.88,Français; Malagasy,EPS; SVT / Sciences humaines,Lecture & Écriture; Volontariat,Ingénierie touristique; Gestion de projets durables; Résolution de problèmes,Sur le terrain / Chantier,Chef de projet Développement Durable,TEE; ESIIA; ICMP,TEE,Techniques du Tourisme,84.78,Élevé,"Excellente adéquation avec la série A1 et bonnes notes en Français, Malagasy. Profil aligné avec l'objectif de Chef de projet Développement Durable."
